Company,Valuation ($B),Date Joined,Country,City ,Industry,Investors,Valuation BI,invest_1,invest_2,invest_3,invest_4,data_1,data_2,data_3,data_4
ByteDance,$140,2017-04-07,China,Beijing,Artificial intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",140.0,Sequoia Capital China,SIG Asia Investments,Sina Weibo,Softbank Group,Sequoia Capital China,SIG Asia Investments,Sina Weibo,Softbank Group
SpaceX,$127,2012-12-01,United States,Hawthorne,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",127.0,Founders Fund,Draper Fisher Jurvetson,Rothenberg Ventures,nan,Founders Fund,Draper Fisher Jurvetson,Rothenberg Ventures,
SHEIN,$100,2018-07-03,China,Shenzhen,E-commerce & direct-to-consumer,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",100.0,Tiger Global Management,Sequoia Capital China,Shunwei Capital Partners,nan,Tiger Global Management,Sequoia Capital China,Shunwei Capital Partners,
Stripe,$95,2014-01-23,United States,San Francisco,Fintech,"Khosla Ventures, LowercaseCapital, capitalG",95.0,Khosla Ventures,LowercaseCapital,capitalG,nan,Khosla Ventures,LowercaseCapital,capitalG,
Canva,$40,2018-01-08,Australia,Surry Hills,Internet software & services,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",40.0,Sequoia Capital China,Blackbird Ventures,Matrix Partners,nan,Sequoia Capital China,Blackbird Ventures,Matrix Partners,
Checkout.com,$40,2019-05-02,United Kingdom,London,Fintech,"Tiger Global Management, Insight Partners, DST Global",40.0,Tiger Global Management,Insight Partners,DST Global,nan,Tiger Global Management,Insight Partners,DST Global,
Instacart,$39,2014-12-30,United States,San Francisco,"Supply chain, logistics, & delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",39.0,Khosla Ventures,Kleiner Perkins Caufield & Byers,Collaborative Fund,nan,Khosla Ventures,Kleiner Perkins Caufield & Byers,Collaborative Fund,
Databricks,$38,2019-02-05,United States,San Francisco,Data management & analytics,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",38.0,Andreessen Horowitz,New Enterprise Associates,Battery Ventures,nan,Andreessen Horowitz,New Enterprise Associates,Battery Ventures,
Revolut,$33,2018-04-26,United Kingdom,London,Fintech,"index Ventures, DST Global, Ribbit Capital",33.0,index Ventures,DST Global,Ribbit Capital,nan,index Ventures,DST Global,Ribbit Capital,
Epic Games,$31.50,2018-10-26,United States,Cary,Other,"Tencent Holdings, KKR, Smash Ventures",31.5,Tencent Holdings,KKR,Smash Ventures,nan,Tencent Holdings,KKR,Smash Ventures,
FTX,$32,2021-07-20,Bahamas,Fintech,"Sequoia Capital, Thoma Bravo, Softbank",,32.0,nan,nan,nan,nan,,,,
Fanatics,$27,2012-06-06,United States,Jacksonville,E-commerce & direct-to-consumer,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",27.0,SoftBank Group,Andreessen Horowitz,Temasek Holdings,nan,SoftBank Group,Andreessen Horowitz,Temasek Holdings,
Chime,$25,2019-03-05,United States,San Francisco,Fintech,"Forerunner Ventures, Crosslink Capital, Homebrew",25.0,Forerunner Ventures,Crosslink Capital,Homebrew,nan,Forerunner Ventures,Crosslink Capital,Homebrew,
BYJU's,$22,2017-07-25,India,Bengaluru,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",22.0,Tencent Holdings,Lightspeed India Partners,Sequoia Capital India,nan,Tencent Holdings,Lightspeed India Partners,Sequoia Capital India,
Xiaohongshu,$20,2016-03-31,China,Shanghai,E-commerce & direct-to-consumer,"GGV Capital, ZhenFund, Tencent",20.0,GGV Capital,ZhenFund,Tencent,nan,GGV Capital,ZhenFund,Tencent,
J&T Express,$20,2021-04-07,Indonesia,Jakarta,"Supply chain, logistics, & delivery","Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",20.0,Hillhouse Capital Management,Boyu Capital,Sequoia Capital China,nan,Hillhouse Capital Management,Boyu Capital,Sequoia Capital China,
Miro,$17.50,2022-01-05,United States,San Francisco,Internet software & services,"Accel, AltaIR Capital, Technology Crossover Ventures",17.5,Accel,AltaIR Capital,Technology Crossover Ventures,nan,Accel,AltaIR Capital,Technology Crossover Ventures,
Yuanfudao,$15.50,2017-05-31,China,Beijing,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital",15.5,Tencent Holdings,Warbug Pincus,IDG Capital,nan,Tencent Holdings,Warbug Pincus,IDG Capital,
DJI Innovations,$15,2015-01-23,China,Shenzhen,Hardware,"Accel Partners, Sequoia Capital",15.0,Accel Partners,Sequoia Capital,nan,nan,Accel Partners,Sequoia Capital,,
Discord,$15,2018-04-20,United States,San Francisco,Internet software & services,"Benchmark, Greylock Partners, Tencent Holdings",15.0,Benchmark,Greylock Partners,Tencent Holdings,nan,Benchmark,Greylock Partners,Tencent Holdings,
goPuff,$15,2020-10-08,United States,Philadelphia,"Supply chain, logistics, & delivery","Accel, Softbank Group, Anthos Capital",15.0,Accel,Softbank Group,Anthos Capital,nan,Accel,Softbank Group,Anthos Capital,
Yuanqi Senlin,$15,2020-03-01,China,Beijing,Consumer & retail,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital",15.0,Sequoia Capital China,Longfor Capitalm,Gaorong Capital,nan,Sequoia Capital China,Longfor Capitalm,Gaorong Capital,
Ripple,$15,2019-12-20,United States,San Francisco,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners",15.0,IDG Capital,Venture51,Lightspeed Venture Partners,nan,IDG Capital,Venture51,Lightspeed Venture Partners,
